*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Solar Charge Board production1
*Date=19:02:55
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
153;;;63.5254;-30.5384;0;Bottom;Copper Fill265
154;;;89.9668;-69.1718;0;Bottom;Copper Fill116
155;;;76.8604;-22.4612;0;Bottom;Copper Fill275
156;;5050;41.5248;-73.1957;0;Top;RGB11
157;;5050;52.7748;-89.4457;0;Top;RGB02
158;;5050;68.5248;-100.946;0;Top;RGB51
159;;;42.8752;-51.1378;0;Bottom;Copper Fill180
160;;;74.5236;-30.5384;0;Bottom;Copper Fill266
161;;;38.5572;-51.4934;0;Bottom;Copper Fill179
162;;;81.6102;-18.3718;0;Bottom;Copper Fill294
163;;;65.8368;-33.9928;0;Bottom;Copper Fill250
164;;THT;8.1249;-38.7358;0;Bottom;J2
165;;;39.7002;-48.0136;0;Bottom;Copper Fill193
166;;;75.8698;-67.216;0;Bottom;Copper Fill118
167;100 nF;1206 [SMD, multilayer];36.3748;-80.2957;90;Bottom;C57
168;;;69.0372;-68.1558;0;Bottom;Copper Fill117
169;;;18.3748;-73.3958;0;Bottom;Via70
170;;;59.8748;-23.3958;0;Bottom;Via42
171;;;90.17;-85.631;0;Bottom;Copper Fill60
172;;;63.5254;-38.5902;0;Bottom;Copper Fill231
173;;;35.4584;-36.5836;0;Bottom;Copper Fill241
174;;;27.9654;-51.087;0;Bottom;Copper Fill8
175;;;42.8752;-43.0352;0;Bottom;Copper Fill210
176;;;53.8734;-43.0352;0;Bottom;Copper Fill211
177;;;52.5272;-84.0308;0;Bottom;Copper Fill66
178;;5050;74.5248;-32.9456;0;Top;RGB39
179;;;81.8748;-67.1458;0;Bottom;Via18
180;100 nF;1206 [SMD, multilayer];46.3748;-32.9458;-90;Top;C36
181;;;41.9354;-57.8434;0;Bottom;Copper Fill144
182;;;50.3428;-33.1292;0;Bottom;Copper Fill254
183;;;76.8604;-74.2264;0;Bottom;Copper Fill99
184;;;52.5272;-46.5912;0;Bottom;Copper Fill200
185;;;74.5236;-35.466;0;Bottom;Copper Fill247
186;;;61.3156;-33.1546;0;Bottom;Copper Fill255
187;;;69.0372;-35.9486;0;Bottom;Copper Fill246
188;;;50.3682;-73.4136;0;Bottom;Copper Fill100
189;;;71.4756;-20.3276;0;Bottom;Copper Fill284
190;;;13.6144;-41.4604;0;Bottom;Copper Fill215
191;;5050;41.5248;-48.9456;0;Top;RGB26
192;;;82.4484;-20.3276;0;Bottom;Copper Fill285
193;;;70.5104;-70.2894;0;Bottom;Copper Fill114
194;;5050;41.5248;-41.1958;0;Top;RGB31
195;;;43.8404;-33.9928;0;Bottom;Copper Fill249
196;;;48.8747;-50.8955;0;Bottom;Via23
197;;;76.8858;-41.9684;0;Bottom;Copper Fill216
198;;5050;52.5248;-48.9456;0;Top;RGB27
199;;;48.8748;-34.8957;0;Bottom;Via24
200;;5050;74.5248;-21.4456;0;Top;RGB44
201;;5050;52.5248;-57.1957;0;Top;RGB22
202;;;48.8748;-42.8956;0;Bottom;Via22
203;;5050;52.5248;-41.1958;0;Top;RGB32
204;;;69.0372;-60.1802;0;Bottom;Copper Fill149
205;;;85.2678;-87.0788;0;Bottom;Copper Fill59
206;;;63.5254;-18.7782;0;Bottom;Copper Fill289
207;;THT;8.11671;-20.5188;180;Bottom;J1
208;;;60.452;-47.8104;0;Bottom;Copper Fill195
209;;;52.5272;-38.5902;0;Bottom;Copper Fill230
210;;;49.4538;-47.8104;0;Bottom;Copper Fill194
211;;;52.1462;-20.3022;0;Bottom;Copper Fill278
212;;;13.6248;-74.1458;0;Bottom;Via71
213;;;74.5236;-38.5902;0;Bottom;Copper Fill232
214;;;26.8732;-101.963;0;Bottom;Copper Fill19
215;;;85.5218;-18.829;0;Bottom;Copper Fill290
216;;5050;52.5249;-81.4457;0;Top;RGB07
217;;5050;63.5248;-81.4457;0;Top;RGB08
218;;;50.3682;-81.6686;0;Bottom;Copper Fill72
219;;;90.7542;-21.4452;0;Bottom;Copper Fill281
220;;;13.6144;-38.9204;0;Bottom;Copper Fill223
221;;;75.8748;-102.796;0;Bottom;Via51
222;;;61.5188;-71.2038;0;Bottom;Copper Fill105
223;;;86.875;-102.796;0;Bottom;Via52
224;;;41.529;-46.6166;0;Bottom;Copper Fill199
225;100 nF;1206 [SMD, multilayer];29.3749;-100.946;-90;Top;C47
226;;;81.153;-78.6206;0;Bottom;Copper Fill89
227;100 nF;1206 [SMD, multilayer];95.3749;-100.846;-90;Top;C53
228;;;81.28;-38.1076;0;Bottom;Copper Fill236
229;;;88.6247;-73.1458;0;Bottom;Via19
230;;;42.8752;-75.3948;0;Bottom;Copper Fill91
231;;;64.8716;-83.5228;0;Bottom;Copper Fill67
232;;5050;79.5249;-100.946;0;Top;RGB52
233;;;70.2564;-38.0822;0;Bottom;Copper Fill237
234;;;13.6144;-26.449;0;Bottom;Copper Fill272
235;;;60.2488;-39.911;0;Bottom;Copper Fill227
236;100 nF;1206 [SMD, multilayer];79.3749;-57.1958;-90;Top;C24
237;;;89.9668;-36.9392;0;Bottom;Copper Fill238
238;;;74.5236;-75.8266;0;Bottom;Copper Fill95
239;;;13.6144;-33.8404;0;Bottom;Copper Fill248
240;;;81.3308;-30.0812;0;Bottom;Copper Fill271
241;;;54.864;-74.2264;0;Bottom;Copper Fill96
242;;;85.5218;-79.154;0;Bottom;Copper Fill82
243;;;52.5272;-79.154;0;Bottom;Copper Fill81
